번호,공개번호,제목,쟁점_분야,관련_기준서,결정년도,ntt_id,atch_file_id,pdf_filename,beneish_score,tier
229,FSS/2512-10,금융자산·부채 과대계상,금융자산·부채,기업회계기준서 제1109호,2025,207883,e478b8ae48124a60bb6fcecb186623ed,FSS2512_10.pdf,5,2
228,FSS/2512-09,개발비 등 과대계상,개발비 등 과대계상,기업회계기준서 제1038호,2025,207882,1400c4236fc34343aa8f704bb0fc03d0,FSS2512_09.pdf,7,1
227,FSS/2512-08,유형자산 등 손상차손 미인식,유형자산 등,기업회계기준서 제1036호,2025,207880,ecc58c0531f04c09b2d4eb72fc11b071,FSS2512_08.pdf,7,1
226,FSS/2512-07,재고자산 평가충당금 과소계상 등,재고자산 평가,기업회계기준서 제1002호,2025,207879,16df1020eb994effa052ef60d5a6429e,FSS2512_07.pdf,9,1
225,FSS/2512-06,재고자산 과대계상,재고자산,기업회계기준서 제1002호,2025,207878,64c8e434fa374ad8ae0e74de558c53fc,FSS2512_06.pdf,9,1
224,FSS/2512-05,관계기업투자주식 지분법 평가 오류,관계기업투자주식,"기업회계기준서 제1028호, 제1001호",2025,207877,0586db793f9d4caf98d691a03cc27fa2,FSS2512_05.pdf,4,2
223,FSS/2512-04,관계기업투자 지분법 회계처리 오류,관계기업투자주식,기업회계기준서 제1028호,2025,207876,79ea0ea3cac0427b8b197cd415927151,FSS2512_04.pdf,4,2
222,FSS/2512-03,관계기업투자주식 미분류,관계기업투자주식,기업회계기준서 제1028호,2025,207875,d2e02031c766499ea8e201eb89b944fb,FSS2512_03.pdf,4,2
221,FSS/2512-02,종속기업의 라이선스 수익 인식 오류,매출,기업회계기준서 제1115호,2025,207874,71345992417e426685377d0b92d4875f,FSS2512_02.pdf,10,1
220,FSS/2512-01,매출 및 매출원가 허위계상,매출 및 매출원가,기업회계기준서 제1115호,2025,207873,ecc10d43a9104608932e10839dbe7c2e,FSS2512_01.pdf,10,1
219,FSS/2505-14,종속기업투자주식 및 부동산 담보제공사실 주석 미기재,담보제공사실 주석 기재,"기업회계기준서 제1107호, 제1016호",2024,194382,cd2928770fab4464aadc005744a329b4,FSS2505_14.pdf,3,3
218,FSS/2505-13,특수관계자 거래 주석 미기재,특수관계자 공시,기업회계기준서 제1024호,2024,194381,d8c50e1a77114abca3e717ae058da87e,FSS2505_13.pdf,3,3
217,FSS/2505-12,전환사채 유동성 분류 오류 등,전환사채 유동성 분류 및 내재파생상품 분리,"기업회계기준서 제1001호, 제1109호",2024,194380,9bc5faf1f40d4a029149d40ca916b506,FSS2505_12.pdf,3,3
216,FSS/2505-11,금융상품 공정가치 평가 오류,기타포괄손익-공정가치측정 금융자산,기업회계기준서 제1109호,2024,194379,ac73ceb779bb48729611a3a6f15d66f0,FSS2505_11.pdf,4,2
215,FSS/2505-10,금융부채 미인식 오류,금융부채,기업회계기준서 제1032호,2024,194378,5f6028f34e6743fe87280b65c75ba6c3,FSS2505_10.pdf,5,2
214,FSS/2505-09,매출채권에 대한 손실충당금 과소계상,매출채권 손실충당금,기업회계기준서 제1109호,2024,194377,d9dc0362bcc44b3387c51ee53f08ffbb,FSS2505_09.pdf,8,1
213,FSS/2505-08,리스기간 산정 오류,사용권자산 및 리스부채,기업회계기준서 제1116호,2024,194376,25718c62152045bda3e3606407032d5d,FSS2505_08.pdf,5,2
212,FSS/2505-07,파생상품부채 미계상,금융부채,기업회계기준서 제1032호,2024,194375,2b99b98f94294c1ab944d51b9f9954f5,FSS2505_07.pdf,5,2
211,FSS/2505-06,가장납입 및 횡령 은폐를 위한 가공의 자산계상,재무제표 표시,기업회계기준서 제1001호,2024,194374,ddcfa4b1371d40a6904d4b65ca912a9f,FSS2505_06.pdf,3,3
210,FSS/2505-05,공동기업투자주식 손상차손 과소계상,공동기업투자주식,기업회계기준서 제1036호,2024,194373,05bd30ac367c445a9c610aab252f756b,FSS2505_05.pdf,4,2
