공개번호,제목,쟁점_분야,관련_기준서,결정년도,beneish_score,tier,결정일,회계결산일,extract_status,full_text,s1_text,s2_text,s3_text,s4_text,s5_text,violation_type,scheme_type,beneish_components,forensic_signals,key_issue,fss_ruling,implications,enrichment_status
FSS/2008-31,연결매출액 및 매출원가 과대계상,연결재무제표 작성,舊 기업회계기준서 제1027호,2015,1,3,,,,,,,,,,revenue_fabrication,revenue_fabrication,"SGI,GMI,TATA","SGI,GMI,channel stuffing,round-trip transactions,earnings smoothing,abnormal accruals,discretionary accruals",,,,metadata_only
FSS/2008-30,유형자산 담보제공사실 등 주석 기재 오류,주석 기재 오류,기업회계기준서 제1016호,2017,1,3,,,,,,,,,,disclosure_fraud,disclosure_fraud,,"disclosure_fraud,internal control weakness",,,,metadata_only
FSS/2008-29,유무형자산 권리제한 사실 미기재,주석 미기재,"기업회계기준서 제1016호, 제 1038호",2017,2,3,,,,,,,,,,disclosure_fraud,disclosure_fraud,AQI,"disclosure_fraud,audit quality,professional skepticism",,,,metadata_only
FSS/2008-28,유형자산 주석 과소기재,주석 미기재,기업회계기준서 제1016호,2016,1,3,,,,,,,,,,disclosure_fraud,disclosure_fraud,"AQI,DEPI","disclosure_fraud,audit quality,internal control weakness,professional skepticism",,,,metadata_only
FSS/2008-27,지급수수료/차입금 과소계상,지급수수료 및 차입금 과소계상,기업회계기준서 제1001호,2017,1,3,,,,,,,,,,liability_suppression,earnings_manipulation,"LVGI,TATA","discretionary accruals,abnormal accruals,audit quality,management override",,,,metadata_only
FSS/2008-26,대여금 계정분류 오류,대여금 분류,일반기업회계기준 제16장,2017,1,3,,,,,,,,,,disclosure_fraud,earnings_manipulation,"LVGI,TATA","discretionary accruals,disclosure_fraud,internal control weakness,audit quality",,,,metadata_only
FSS/2008-25,저축은행의 대출채권 대손충당금 설정 오류,저축은행의 대출채권 대손충당금 설정 오류,일반기업회계기준 제6장,2015,5,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"DSRI,TATA","discretionary accruals,abnormal accruals,management override,audit quality",,,,metadata_only
FSS/2008-24,소송관련 충당부채 과소계상,충당부채 인식,기업회계기준서 제1037호,2016,3,3,,,,,,,,,,liability_suppression,earnings_manipulation,"LVGI,TATA","discretionary accruals,management override,abnormal accruals,audit quality",,,,metadata_only
FSS/2008-23,장기성 매출채권에 대한 대손충당금 과소계상,대손충당금,"기업회계기준서 제1039호, 제1008호",2017,5,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"DSRI,TATA","discretionary accruals,management override,abnormal accruals,audit quality",,,,metadata_only
FSS/2008-22,골프회원권 손상차손 미인식,골프회원권 손상,일반기업회계기준 제20장,2015,1,3,,,,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,internal control weakness",,,,metadata_only
FSS/BATCH-9,A-8[퇴직급여충당금 과소계상],,,,0,3,,,,,,,,,,,,,,,,,
FSS/2008-21,비업무용 부동산 과대계상,비업무용 부동산 손상,일반기업회계기준 제20장,2016,1,3,,,,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,management override",,,,metadata_only
FSS/2008-20,유형자산(건설중인자산) 및 미수금 허위계상,유형자산 및 미수금,재무회계개념체계,2018,5,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,DSRI,TATA","abnormal accruals,discretionary accruals,management override,internal control weakness,audit quality",,,,metadata_only
FSS/2008-19,파생상품평가이익 과소계상,파생상품,기업회계기준서 제1039호,2016,1,3,,,,,,,,,,disclosure_fraud,earnings_manipulation,TATA,"discretionary accruals,management override,audit quality",,,,metadata_only
FSS/2008-18,파생금융부채 미계상,파생금융부채,기업회계기준서 제1039호,2020,4,2,,,failed,,,,,,,liability_suppression,earnings_manipulation,"LVGI,TATA","abnormal accruals,discretionary accruals,management override,internal control weakness,audit quality",,,,metadata_only
FSS/2008-17,파생상품평가손실 과소계상,파생상품,기업회계기준서 제1039호,2017,1,3,,,,,,,,,,disclosure_fraud,earnings_manipulation,TATA,"discretionary accruals,management override,abnormal accruals,audit quality",,,,metadata_only
FSS/2008-16,매도가능금융자산 손상차손 미인식,매도가능금융자산 손상차손,기업회계기준서 제1039호,2017,4,2,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,audit quality,internal control weakness",,,,metadata_only
FSS/2008-15,종속기업투자주식(영업권) 과대계상,종속기업투자주식(영업권),기업회계기준서 제1036호,2016,3,3,,,,,,,,,,asset_inflation,asset_inflation,AQI,"abnormal accruals,audit quality,management override",,,,metadata_only
FSS/2008-14,지분법적용투자주식 과소계상,지분법 회계처리,일반기업회계기준 제8장,2017,1,3,,,,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","discretionary accruals,abnormal accruals,management override,audit quality,professional skepticism",,,,metadata_only
FSS/2008-13,재고자산 허위계상,재고자산,기업회계기준서 제1002호,2017,7,1,,,failed,,,,,,,asset_inflation,earnings_manipulation,"AQI,TATA","abnormal accruals,discretionary accruals,management override,audit quality",,,,metadata_only
FSS/2008-12,공사진행률 산정 오류,수익인식,기업회계기준서 제1011호,2017,8,1,,,failed,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,TATA","earnings_smoothing,discretionary accruals,abnormal accruals,real earnings management",,,,metadata_only
FSS/BATCH-8,A-7[미지급비용 등 부채 과소계상],,,,0,3,,,,,,,,,,,,,,,,,
FSS/2008-11,공사수익 오류,공사수익 인식,기업회계기준서 제1011호,2016,3,3,,,,,,,,,,revenue_fabrication,earnings_manipulation,"SGI,TATA","abnormal accruals,discretionary accruals,real earnings management,audit quality,management override",,,,metadata_only
FSS/2008-10,수익(매출) 기간귀속 오류,수익(매출) 기간귀속,일반기업회계기준 제16장,2017,6,2,,,failed,,,,,,,revenue_fabrication,timing_anomaly,"SGI,TATA","timing_anomaly,real earnings management,abnormal accruals,discretionary accruals",,,,metadata_only
